Day,Week,Phase,Module,Task ID,Task Description,Required,Status,Date Started,Date Completed,Deliverable / Output,Dev Notes,Payment Amount (INR),Payment Status,Payment Date,Client Sign-off
1,1,Phase 1,Setup,1.1,Project setup — React + Node.js repo structure + Git,Y,Done,,,leafyland repo + Vercel deploy,Homepage live on Vercel,,,,
1,1,Phase 1,Setup,1.2,Design system — white bg / green headings / black text,Y,Done,,,Tailwind tokens + components,,,,
1,1,Phase 1,Frontend,1.3,Customer homepage — header nav hero categories products services,Y,Done,,,https://client-lyart-five-18.vercel.app,,,,
1,1,Phase 1,Frontend,1.4,Fix broken images — bundle local assets,Y,Done,,,25 images in /public/images,,,,
2,1,Phase 1,Backend,2.1,NestJS/Express API scaffold + folder structure,Y,Not Started,,,server/ with modules pattern,,Pending,,
2,1,Phase 1,Backend,2.2,PostgreSQL database setup + connection,Y,Not Started,,,Railway/Supabase DB connected,,Pending,,
2,1,Phase 1,Backend,2.3,Environment config (.env) — dev + production,Y,Not Started,,,.env.example documented,,Pending,,
2,1,Phase 1,Backend,2.4,Health + version API endpoints,Y,Not Started,,,GET /api/health /api/version,,Pending,,
3,1,Phase 1,Auth,3.1,Admin login — email/password + JWT,Y,Not Started,,,/admin/login page + API,,Pending,,
3,1,Phase 1,Auth,3.2,Role-based access — admin / vendor / customer,Y,Not Started,,,Middleware + roles table,,Pending,,
3,1,Phase 1,Auth,3.3,Password reset flow (admin),Y,Not Started,,,Forgot password email,,Pending,,
4,2,Phase 1,Admin,4.1,Admin dashboard layout — sidebar + header,Y,Not Started,,,Match leafyland.shop admin nav,,Pending,,
4,2,Phase 1,Admin,4.2,Admin dashboard — KPI cards (orders/leads/products),Y,Not Started,,,Dashboard widgets,,Pending,,
5,2,Phase 1,Catalog,5.1,Category CRUD — plants soil tools services etc,Y,Not Started,,,/admin/categories,,Pending,,
5,2,Phase 1,Catalog,5.2,Subcategory + tags support,Y,Not Started,,,Nested categories,,Pending,,
6,2,Phase 1,Products,6.1,Product model — name SKU price stock images vendor,Y,Not Started,,,PostgreSQL products table,,Pending,,
6,2,Phase 1,Products,6.2,Admin — add product manually (single form),Y,Not Started,,,/admin/products/add,,Pending,,
6,2,Phase 1,Products,6.3,Admin — edit / delete / draft / publish product,Y,Not Started,,,/admin/products/:id,,Pending,,
7,2,Phase 1,Products,7.1,Admin — bulk CSV product import + validation preview,Y,Not Started,,,/admin/import-products,,Pending,,
7,2,Phase 1,Products,7.2,Import batch history log (success/fail counts),Y,Not Started,,,/admin/import-batches,,Pending,,
7,2,Phase 1,Products,7.3,CSV template download for vendors/admin,Y,Not Started,,,products-template.csv,,Pending,,
8,3,Phase 1,Products,8.1,Product image upload — S3/R2 storage,Y,Not Started,,,Multi-image per product,,Pending,,
8,3,Phase 1,Products,8.2,Shop page — product listing with filters,Y,Not Started,,,/products page live,,Pending,,
8,3,Phase 1,Products,8.3,Product detail page — specs price ADD to cart,Y,Not Started,,,/product/:slug,,Pending,,
9,3,Phase 1,Marketplace,9.1,Green marketplace categories — indoor outdoor fruit bonsai etc,Y,Not Started,,,Category pages Ugaoo-style,,Pending,,
9,3,Phase 1,Marketplace,9.2,Search — products by name category city,Y,Not Started,,,Header search working,,Pending,,
10,3,Phase 1,Vendors,10.1,Vendor registration form (public),Y,Not Started,,,/vendor/register,,Pending,,
10,3,Phase 1,Vendors,10.2,Admin — approve / reject vendor + KYC flag,Y,Not Started,,,/admin/vendors,,Pending,,
10,3,Phase 1,Vendors,10.3,Vendor portal — login + product list (basic),Y,Not Started,,,/vendor/dashboard,,Pending,,
11,3,Phase 1,Cart,11.1,Shopping cart — add update remove qty,Y,Not Started,,,Cart state + /cart page,,Pending,,
11,3,Phase 1,Cart,11.2,Checkout — address pincode delivery slot,Y,Not Started,,,/checkout step 1,,Pending,,
12,4,Phase 1,Payments,12.1,Razorpay integration — create order,Y,Not Started,,,Test mode payments,,Pending,,
12,4,Phase 1,Payments,12.2,Payment success / failure pages + webhook,Y,Not Started,,,Order confirmation email,,Pending,,
12,4,Phase 1,Orders,12.3,Order management — admin order list + status,Y,Not Started,,,/admin/orders,,Pending,,
13,4,Phase 1,CRM,13.1,Lead model — name email phone source city tags,Y,Not Started,,,marketing_leads table,,Pending,,
13,4,Phase 1,CRM,13.2,Admin — add lead manually,Y,Not Started,,,/admin/leads,,Pending,,
13,4,Phase 1,CRM,13.3,Admin — bulk CSV lead import,Y,Not Started,,,Upload CSV leads,,Pending,,
14,4,Phase 1,CRM,14.1,Lead pipeline — kanban stages (New/Warm/Hot/Won/Lost),Y,Not Started,,,/admin/lead-pipeline,,Pending,,
14,4,Phase 1,CRM,14.2,Lead detail — notes timeline assignee,Y,Not Started,,,Activity log per lead,,Pending,,
15,4,Phase 1,Marketing,15.1,Email template builder (basic HTML + variables),Y,Not Started,,,/admin/marketing templates,,Pending,,
15,4,Phase 1,Marketing,15.2,Bulk email campaign — select leads + send,Y,Not Started,,,/admin/bulk-email,,Pending,,
16,5,Phase 1,Marketing,16.1,Resend/SendGrid integration + send log,Y,Not Started,,,email_send_log table,,Pending,,
16,5,Phase 1,Marketing,16.2,Follow-up sequence — Day 0/2/5 auto reminders,Y,Not Started,,,prospect_reminders queue,,Pending,,
16,5,Phase 1,Marketing,16.3,Unsubscribe + suppression list,Y,Not Started,,,Compliance + opt-out,,Pending,,
17,5,Phase 1,Marketing,17.1,Campaign status dashboard — sent/opened/clicked,Y,Not Started,,,/admin/marketing-status,,Pending,,
17,5,Phase 1,Frontend,17.2,Contact / consultation form → creates lead in CRM,Y,Not Started,,,Homepage form wired,,Pending,,
18,5,Phase 1,Customer,18.1,Customer registration + login,Y,Not Started,,,/auth signup login,,Pending,,
18,5,Phase 1,Customer,18.2,Customer profile — orders addresses wishlist,Y,Not Started,,,/my-orders /account,,Pending,,
19,5,Phase 1,SEO,19.1,Meta titles descriptions per page,Y,Not Started,,,SEO component,,Pending,,
19,5,Phase 1,SEO,19.2,Sitemap.xml + robots.txt generation,Y,Not Started,,,Auto sitemap,,Pending,,
19,5,Phase 1,SEO,19.3,Schema markup — Organization Product LocalBusiness,Y,Not Started,,,JSON-LD,,Pending,,
20,6,Phase 1,Content,20.1,Static pages — About Contact Privacy Terms Refund Shipping,Y,Not Started,,,Legal pages,,Pending,,
20,6,Phase 1,Content,20.2,Franchise + Become a Vendor landing pages,Y,Not Started,,,/franchise /vendor,,Pending,,
21,6,Phase 1,QA,21.1,Mobile responsive QA — all Phase 1 pages,Y,Not Started,,,Test on Android + iPhone,,Pending,,
21,6,Phase 1,QA,21.2,Payment flow end-to-end test (Razorpay test mode),Y,Not Started,,,Test checklist signed,,Pending,,
22,6,Phase 1,Deploy,22.1,Production deploy — frontend Vercel + API Railway,Y,Not Started,,,Live URLs documented,,Pending,,
22,6,Phase 1,Deploy,22.2,Custom domain setup (leafyland.shop),Y,Not Started,,,DNS + SSL,,Pending,,
23,6,Phase 1,Handoff,23.1,Admin user guide — products leads email (PDF/doc),Y,Not Started,,,Client training doc,,Pending,,
23,6,Phase 1,Handoff,23.2,Phase 1 demo + client sign-off meeting,Y,Not Started,,,Recorded walkthrough,,Pending,,
,,Phase 2,Services,DEF-2.1,Service booking — Urban Company model,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Services,DEF-2.2,Live technician tracking GPS,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Services,DEF-2.3,Digital quotations + project dashboard,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Delivery,DEF-2.4,Express 30-90 min delivery Zepto model,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Delivery,DEF-2.5,Delivery partner app + driver tracking,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Mobile,DEF-2.6,Customer Android/iOS app Flutter,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Mobile,DEF-2.7,Vendor app + Admin mobile app,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 2,Warehouse,DEF-2.8,Warehouse management + live inventory,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 3,ERP,DEF-3.1,Full ERP — Finance HR Payroll Manufacturing,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 3,Marketing,DEF-3.2,WhatsApp marketing automation,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 3,Marketing,DEF-3.3,Social media AI automation,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 3,Marketing,DEF-3.4,Google/Meta Ads dashboard,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 3,CRM,DEF-3.5,Loyalty points + membership program,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 4,AI,DEF-4.1,Leafy AI — plant doctor voice ordering,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 4,SaaS,DEF-4.2,SaaS platform for landscapers/nurseries,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 4,Enterprise,DEF-4.3,Architect + Builder portals,N,Deferred,,,NOT IN PHASE 1,,,,
,,Phase 4,Infra,DEF-4.4,Kubernetes + Elasticsearch,N,Deferred,,,NOT IN PHASE 1,,,,
